           2   3.14159012    
           3   4.18878460    
           4   4.93479395    
           5   5.26377773    
           6   5.16769981    
           7   4.72475243    
           8   4.05869913    
           9   3.29849696    
          10   2.55015373    
          11   1.88409531    
          12   1.33525634    
          13  0.910624027    
          14  0.599261165    
